name,yearkm_driven,fuel,seller_type,transmission,owner,selling_price
Maruti 800 AC,200770000,Petrol,Individual,Manual,First Owner,60000
Maruti Wagon R LXI Minor,200750000,Petrol,Individual,Manual,First Owner,135000
Hyundai Verna 1.6 SX,2012100000,Diesel,Individual,Manual,First Owner,600000
Datsun RediGO T Option,201746000,Petrol,Individual,Manual,First Owner,250000
Honda Amaze VX i-DTEC,2014141000,Diesel,Individual,Manual,Second Owner,450000
Maruti Alto LX BSIII,2007125000,Petrol,Individual,Manual,First Owner,140000
Hyundai Xcent 1.2 Kappa S,201625000,Petrol,Individual,Manual,First Owner,550000
Tata Indigo Grand Petrol,201460000,Petrol,Individual,Manual,Second Owner,240000
Hyundai Creta 1.6 VTVT S,201525000,Petrol,Individual,Manual,First Owner,850000
Maruti Celerio Green VXI,201778000,CNG,Individual,Manual,First Owner,365000
Chevrolet Sail 1.2 Base,201535000,Petrol,Individual,Manual,First Owner,260000
Tata Indigo Grand Petrol,2014100000,Petrol,Individual,Manual,First Owner,250000
Toyota Corolla Altis 1.8 VL CVT,201825000,Petrol,Dealer,Automatic,First Owner,1650000
Maruti 800 AC,200770000,Petrol,Individual,Manual,First Owner,60000
Maruti Wagon R LXI Minor,200750000,Petrol,Individual,Manual,First Owner,135000
Hyundai Verna 1.6 SX,2012100000,Diesel,Individual,Manual,First Owner,600000
Datsun RediGO T Option,201746000,Petrol,Individual,Manual,First Owner,250000
Honda Amaze VX i-DTEC,2014141000,Diesel,Individual,Manual,Second Owner,450000
Maruti Alto LX BSIII,2007125000,Petrol,Individual,Manual,First Owner,140000
Hyundai Xcent 1.2 Kappa S,201625000,Petrol,Individual,Manual,First Owner,550000
Tata Indigo Grand Petrol,201460000,Petrol,Individual,Manual,Second Owner,240000
Hyundai Creta 1.6 VTVT S,201525000,Petrol,Individual,Manual,First Owner,850000
Maruti Celerio Green VXI,201778000,CNG,Individual,Manual,First Owner,365000
Chevrolet Sail 1.2 Base,201535000,Petrol,Individual,Manual,First Owner,260000
Tata Indigo Grand Petrol,2014100000,Petrol,Individual,Manual,First Owner,250000
Toyota Corolla Altis 1.8 VL CVT,201825000,Petrol,Dealer,Automatic,First Owner,1650000
Maruti Ciaz VXi Plus,201524000,Petrol,Dealer,Manual,First Owner,585000
Hyundai Venue SX Opt Diesel,20195000,Diesel,Dealer,Manual,First Owner,1195000
Chevrolet Enjoy TCDi LTZ 7 Seater,201333000,Diesel,Individual,Manual,Second Owner,390000
Jaguar XF 2.2 Litre Luxury,201428000,Diesel,Dealer,Automatic,First Owner,1964999
Mercedes-Benz New C-Class 220 CDI AT,201359000,Diesel,Dealer,Automatic,First Owner,1425000
Maruti Vitara Brezza ZDi Plus AMT,20184500,Diesel,Dealer,Automatic,First Owner,975000
Audi Q5 2.0 TDI,2011175900,Diesel,Dealer,Automatic,First Owner,1190000
Honda City V MT,201814500,Petrol,Dealer,Manual,First Owner,930000
Tata Tigor 1.2 Revotron XT,201815000,Petrol,Individual,Manual,First Owner,525000
Audi A6 2.0 TDI  Design Edition,201350000,Diesel,Dealer,Automatic,First Owner,1735000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,201233800,Diesel,Dealer,Automatic,Second Owner,1375000
Skoda Superb Ambition 2.0 TDI CR AT,2011130400,Diesel,Dealer,Automatic,Second Owner,450000
Toyota Corolla Altis G AT,201650000,Petrol,Individual,Automatic,First Owner,900000
Toyota Innova 2.5 G (Diesel) 7 Seater,201580000,Diesel,Individual,Manual,First Owner,1300000
Jeep Compass 1.4 Sport Plus BSIV,201910000,Petrol,Individual,Manual,First Owner,1400000
Mercedes-Benz E-Class E 200 CGI Elegance,2010119000,Petrol,Dealer,Automatic,First Owner,850000
Hyundai i10 Magna 1.1L,201460000,Petrol,Individual,Manual,Fourth & Above Owner,229999
BMW 3 Series 320d Sport Line,201375800,Diesel,Dealer,Automatic,Second Owner,1550000
Audi Q7 35 TDI Quattro Premium,200978000,Diesel,Dealer,Automatic,Third Owner,1250000
Hyundai Elantra CRDi S,201240000,Diesel,Individual,Manual,First Owner,625000
Mahindra Scorpio 1.99 S10,201450000,Diesel,Individual,Manual,First Owner,1050000
Honda City i DTEC V,201474000,Diesel,Individual,Manual,Second Owner,560000
Maruti Wagon R VXI BS IV with ABS,201464000,Petrol,Individual,Manual,Second Owner,290000
Maruti Wagon R VXI BS IV,201260000,Petrol,Individual,Manual,Second Owner,275000
Mahindra Scorpio LX,2009120000,Diesel,Individual,Manual,Second Owner,411000
Hyundai Santro Xing GLS,200979000,Petrol,Individual,Manual,Third Owner,150000
Hyundai Grand i10 1.2 Kappa Asta,201915000,Petrol,Individual,Manual,First Owner,500000
Maruti Alto LXi,200680000,Petrol,Individual,Manual,First Owner,100000
Maruti Swift Dzire VDI Optional,201718500,Diesel,Dealer,Manual,First Owner,725000
Maruti Eeco 5 Seater AC BSIV,201810200,Petrol,Dealer,Manual,First Owner,401000
Hyundai i20 Sportz 1.4 CRDi,201829000,Diesel,Dealer,Manual,First Owner,750000
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,201828000,Petrol,Dealer,Manual,First Owner,310000
Maruti Swift ZDi BSIV,201646000,Diesel,Dealer,Manual,First Owner,665000
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,201470000,Diesel,Dealer,Manual,First Owner,465000
Maruti Alto LXi,201260000,Petrol,Individual,Manual,Second Owner,160000
Mahindra Jeep CL 500 MDI,199635000,Diesel,Individual,Manual,Second Owner,250000
Honda City i DTEC VX,201490000,Diesel,Dealer,Manual,First Owner,675000
Maruti Wagon R VXI BS IV,201380000,Petrol,Dealer,Manual,First Owner,300000
Tata Indica DLS,200580000,Diesel,Individual,Manual,First Owner,70000
Hyundai EON Magna Plus,201473300,Petrol,Dealer,Manual,Second Owner,240000
Toyota Etios GD,201492000,Diesel,Dealer,Manual,First Owner,525000
Maruti Alto LXi,200966764,Petrol,Dealer,Manual,Second Owner,151000
Maruti Alto LXi,2009100000,Petrol,Individual,Manual,First Owner,140000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010350000,Diesel,Individual,Manual,Second Owner,280000
Toyota Corolla Altis Diesel D4DG,2011230000,Diesel,Individual,Manual,First Owner,350000
Mahindra Scorpio 1.99 S6 Plus,201760000,Diesel,Individual,Manual,First Owner,570000
Hyundai EON Magna Plus,201831000,Petrol,Individual,Manual,First Owner,300000
Tata Indigo Classic Dicor,200739000,Diesel,Individual,Manual,First Owner,100000
Toyota Innova 2.5 V Diesel 8-seater,2009120000,Diesel,Individual,Manual,Third Owner,500000
Tata Indica Vista Quadrajet LS,2014166000,Diesel,Individual,Manual,Fourth & Above Owner,125000
Maruti Swift 1.3 VXi,2006110000,Petrol,Individual,Manual,Third Owner,130000
Ford EcoSport 1.5 Diesel Titanium BSIV,201735000,Diesel,Individual,Manual,First Owner,925000
